energy,xs
8000,1.3730148567896565e-47
9000,1.8156569671688864e-46
10000,5.003265241466215e-46
11000,9.378500638922475e-46
12000,1.474786787995827e-45
13000,2.0989293285917355e-45
14000,2.8022675745734793e-45
15000,3.579368872159201e-45
16000,4.4264432449573484e-45
17000,5.340781495372337e-45
18000,6.320405399785226e-45
19000,7.363843203751018e-45
20000,8.469981629457339e-45
21000,9.63796598316027e-45
22000,1.0867131291509828e-44
23000,1.2156953921183701e-44
24000,1.3507017003471436e-44
25000,1.4916985338812907e-44
26000,1.6386586923042216e-44
27000,1.7915599171272105e-44
28000,1.9503838522207314e-44
29000,2.115115250707925e-44
30000,2.2857413637346556e-44
31000,2.4622514649654607e-44
32000,2.6446364774231015e-44
33000,2.832888678250078e-44
34000,3.0270014633361604e-44
35000,3.226969158330101e-44
36000,3.4327868658755653e-44
37000,3.644450341348074e-44
38000,3.861955891174038e-44
39000,4.0853002891607406e-44
40000,4.314480707281348e-44
41000,4.549494658129801e-44
42000,4.790339946849911e-44
43000,5.037014630797022e-44
44000,5.289516985542721e-44
45000,5.547845476107748e-44
46000,5.811998732524021e-44
47000,6.081975528996856e-44
48000,6.357774766073811e-44
49000,6.639395455334363e-44
50000,6.9268367062012e-44
51000,7.220097714543684e-44
52000,7.519177752800447e-44
53000,7.824076161394036e-44
54000,8.13479234124801e-44
55000,8.451325747247593e-44
56000,8.773675882510342e-44
57000,9.10184229335415e-44
58000,9.435824564867228e-44
59000,9.775622316999183e-44
60000,1.0121235201104262e-43
61000,1.0472662896877983e-43
62000,1.0829905109636816e-43
63000,1.1192961567897642e-43
64000,1.1561832021219927e-43
65000,1.1936516238278398e-43
66000,1.2317014005138627e-43
67000,1.2703325123711368e-43
68000,1.3095449410364852e-43
69000,1.3493386694676786e-43
70000,1.3897136818310327e-43
71000,1.4306699633999996e-43
72000,1.4722075004635566e-43
73000,1.5143262802433135e-43
74000,1.5570262908184093e-43
75000,1.6003075210573737e-43
76000,1.6441699605562188e-43
77000,1.6886135995821226e-43
78000,1.7336384290221376e-43
79000,1.7792444403364092e-43
80000,1.8254316255154682e-43
81000,1.872199977041185e-43
82000,1.9195494878510372e-43
83000,1.9674801513053808e-43
84000,2.015991961157418e-43
85000,2.065084911525637e-43
86000,2.1147589968684745e-43
87000,2.1650142119610047e-43
88000,2.2158505518734783e-43
89000,2.267268011951532e-43
90000,2.3192665877979333e-43
91000,2.3718462752557212e-43
92000,2.425007070392622e-43
93000,2.4787489694866305e-43
94000,2.5330719690126625e-43
95000,2.5879760656301844e-43
96000,2.6434612561717345e-43
97000,2.6995275376322783e-43
98000,2.756174907159312e-43
99000,2.8134033620436667e-43
100000,2.871212899710952e-43
101000,2.9296035177135864e-43
102000,2.988575213723378e-43
103000,3.048127985524604e-43
104000,3.108261831007549e-43
105000,3.168976748162483e-43
106000,3.23027273507402e-43
107000,3.2921497899158634e-43
108000,3.354607910945871e-43
109000,3.4176470965014476e-43
