energy,xs
3000,3.6377152399440866e-48
4000,1.2527259990879335e-47
5000,2.500691994851503e-47
6000,4.066097315973595e-47
7000,5.934697568403065e-47
8000,8.100542703281996e-47
9000,1.0560790208792587e-46
10000,1.3313942959740633e-46
11000,1.6359151569959475e-46
12000,1.9695905034780258e-46
13000,2.3323880967931964e-46
14000,2.7242867829141776e-46
15000,3.145272214660478e-46
16000,3.5953343830237565e-46
17000,4.074466133241201e-46
18000,4.582662240990586e-46
19000,5.119918819492066e-46
20000,5.686232928672375e-46
21000,6.281602311357003e-46
22000,6.906025211407038e-46
23000,7.559500245950699e-46
24000,8.24202631407258e-46
25000,8.953602530538636e-46
26000,9.69422817700857e-46
27000,1.0463902665654248e-45
28000,1.1262625511705577e-45
29000,1.2090396312505235e-45
30000,1.2947214731366572e-45
31000,1.3833080485015981e-45
32000,1.4747993333738023e-45
33000,1.569195307357844e-45
34000,1.666495953012814e-45
35000,1.7667012553532207e-45
36000,1.8698112014455506e-45
37000,1.975825780080101e-45
38000,2.084744981502449e-45
39000,2.196568797192485e-45
40000,2.3112972196816236e-45
41000,2.4289302424008294e-45
42000,2.5494678595536678e-45
43000,2.6729100660097738e-45
44000,2.799256857215073e-45
45000,2.9285082291158114e-45
46000,3.0606641780940154e-45
47000,3.195724700912461e-45
48000,3.3336897946675857e-45
49000,3.4745594567490487e-45
50000,3.6183336848049113e-45
51000,3.765012476711527e-45
52000,3.914595830547467e-45
53000,4.067083744570841e-45
54000,4.2224762171995355e-45
55000,4.3807732469939484e-45
56000,4.541974832641852e-45
57000,4.706080972945109e-45
58000,4.8730916668079716e-45
59000,5.043006913226757e-45
60000,5.2158267112807186e-45
61000,5.3915510601239606e-45
62000,5.570179958978245e-45
63000,5.751713407126609e-45
64000,5.936151403907657e-45
65000,6.123493948710481e-45
66000,6.313741040970094e-45
67000,6.506892680163357e-45
68000,6.702948865805318e-45
69000,6.901909597445902e-45
70000,7.103774874666955e-45
71000,7.308544697079562e-45
72000,7.516219064321623e-45
73000,7.726797976055673e-45
74000,7.94028143196689e-45
75000,8.156669431761302e-45
76000,8.375961975164146e-45
77000,8.598159061918389e-45
78000,8.823260691783365e-45
79000,9.051266864533539e-45
80000,9.282177579957391e-45
81000,9.515992837856374e-45
82000,9.75271263804397e-45
83000,9.992336980344831e-45
84000,1.0234865864593984e-44
85000,1.0480299290636106e-44
86000,1.0728637258324846e-44
87000,1.0979879767522218e-44
88000,1.123402681809803e-44
89000,1.149107840992937e-44
90000,1.17510345429001e-44
91000,1.2013895216900448e-44
92000,1.2279660431826557e-44
93000,1.254833018758014e-44
94000,1.28199044840681e-44
95000,1.3094383321202212e-44
96000,1.3371766698898827e-44
97000,1.3652054617078593e-44
98000,1.3935247075666165e-44
99000,1.4221344074589998e-44
100000,1.4510345613782114e-44
101000,1.4802251693177864e-44
102000,1.509706231271577e-44
103000,1.5394777472337308e-44
104000,1.5695397171986768e-44
105000,1.599892141161108e-44
106000,1.6305350191159647e-44
107000,1.6614683510584247e-44
