energy,xs
793000,7.392148804400213e-49
794000,1.0675264427432319e-47
795000,3.216935608410977e-47
796000,6.517803269129266e-47
797000,1.0965810954655112e-46
798000,1.6556667235694076e-46
799000,2.3286107520969096e-46
800000,3.114989385605899e-46
801000,4.0143814724001086e-46
802000,5.026368484762533e-46
803000,6.150534499361586e-46
804000,7.386466177827535e-46
805000,8.733752747497926e-46
806000,1.0191985982329501e-45
807000,1.176076018397659e-45
808000,1.3439672163032446e-45
809000,1.522832122043339e-45
810000,1.712630912902278e-45
811000,1.913324011527526e-45
812000,2.1248720841177043e-45
813000,2.347236038626369e-45
814000,2.5803770229809886e-45
815000,2.824256423317531e-45
816000,3.078835862229876e-45
817000,3.344077197034437e-45
818000,3.619942518049503e-45
819000,3.9063941468892916e-45
820000,4.203394634772646e-45
821000,4.510906760846044e-45
822000,4.8288935305208765e-45
823000,5.157318173824963e-45
824000,5.4961441437679206e-45
825000,5.845335114720588e-45
826000,6.204854980807895e-45
827000,6.574667854315599e-45
828000,6.954738064110348e-45
829000,7.345030154073128e-45
830000,7.745508881545777e-45
831000,8.156139215790858e-45
832000,8.576886336464106e-45
833000,9.007715632100097e-45
834000,9.448592698610369e-45
835000,9.899483337794112e-45
836000,1.0360353555861475e-44
837000,1.0831169561969055e-44
838000,1.131189776676788e-44
839000,1.1802504780963186e-44
840000,1.2302957413886109e-44
841000,1.2813222672077939e-44
842000,1.333326775788526e-44
843000,1.3863060068067275e-44
844000,1.4402567192414606e-44
845000,1.495175691237947e-44
846000,1.5510597199717137e-44
847000,1.6079056215138622e-44
848000,1.6657102306974573e-44
849000,1.724470400985027e-44
850000,1.7841830043371066e-44
851000,1.8448449310819253e-44
852000,1.9064530897861162e-44
853000,1.9690044071265074e-44
854000,2.032495827762965e-44
855000,2.0969243142122588e-44
856000,2.1622868467229794e-44
857000,2.2285804231514716e-44
858000,2.295802058838758e-44
859000,2.363948786488507e-44
860000,2.433017656045949e-44
861000,2.503005734577805e-44
862000,2.5739101061531843e-44
863000,2.645727871725433e-44
864000,2.718456149014966e-44
865000,2.792092072393024e-44
866000,2.8666327927663633e-44
867000,2.942075477462926e-44
868000,3.018417310118358e-44
869000,3.0956554905634807e-44
870000,3.1737872347127115e-44
871000,3.2528097744532644e-44
872000,3.3327203575353646e-44
873000,3.4135162474632664e-44
874000,3.4951947233871427e-44
875000,3.5777530799959205e-44
876000,3.6611886274108344e-44
877000,3.7454986910799776e-44
878000,3.8306806116735705e-44
879000,3.9167317449801557e-44
880000,4.0036494618035393e-44
881000,4.0914311478606287e-44
882000,4.18007420368001e-44
883000,4.269576044501365e-44
884000,4.359934100175694e-44
885000,4.4511458150662997e-44
886000,4.543208647950569e-44
887000,4.636120071922518e-44
888000,4.729877574296142e-44
889000,4.824478656509458e-44
890000,4.919920834029367e-44
891000,5.016201636257219e-44
892000,5.11331860643516e-44
893000,5.211269301553166e-44
894000,5.310051292256845e-44
895000,5.409662162755925e-44
896000,5.510099510733493e-44
897000,5.611360947255909e-44
898000,5.71344409668344e-44
899000,5.816346596581598e-44
900000,5.920066097633112e-44
901000,6.02460026355069e-44
902000,6.129946770990337e-44
903000,6.236103309465435e-44
904000,6.343067581261441e-44
905000,6.450837301351244e-44
906000,6.559410197311227e-44
907000,6.668784009237914e-44
908000,6.778956489665268e-44
909000,6.889925403482665e-44
910000,7.001688527853472e-44
911000,7.114243652134259e-44
912000,7.227588577794596e-44
913000,7.341721118337523e-44
914000,7.456639099220611e-44
915000,7.572340357777542e-44
916000,7.688822743140468e-44
917000,7.806084116162766e-44
918000,7.924122349342527e-44
919000,8.042935326746514e-44
920000,8.162520943934815e-44
921000,8.282877107885994e-44
922000,8.404001736922793e-44
923000,8.525892760638454e-44
924000,8.648548119823585e-44
925000,8.771965766393553e-44
926000,8.896143663316423e-44
927000,9.021079784541487e-44
928000,9.146772114928309e-44
929000,9.273218650176252e-44
930000,9.400417396754655e-44
931000,9.528366371833366e-44
932000,9.657063603214008e-44
933000,9.786507129261528e-44
934000,9.916694998836448e-44
935000,1.0047625271227528e-43
936000,1.017929601608498e-43
937000,1.0311705313354102e-43
938000,1.0444851253209516e-43
939000,1.0578731935989802e-43
940000,1.0713345472132655e-43
941000,1.0848689982110553e-43
942000,1.0984763596366887e-43
943000,1.112156445525248e-43
944000,1.1259090708962727e-43
945000,1.1397340517475115e-43
946000,1.1536312050487137e-43
947000,1.1676003487354846e-43
948000,1.1816413017031694e-43
949000,1.1957538838007882e-43
950000,1.2099379158250207e-43
951000,1.2241932195142239e-43
952000,1.2385196175425066e-43
953000,1.2529169335138384e-43
954000,1.2673849919562034e-43
955000,1.2819236183158008e-43
956000,1.29653263895128e-43
957000,1.3112118811280298e-43
958000,1.3259611730124984e-43
959000,1.3407803436665576e-43
960000,1.3556692230419143e-43
961000,1.3706276419745529e-43
962000,1.3856554321792225e-43
963000,1.4007524262439724e-43
964000,1.415918457624708e-43
965000,1.4311533606398086e-43
966000,1.4464569704647629e-43
967000,1.4618291231268651e-43
968000,1.4772696554999257e-43
969000,1.4927784052990424e-43
970000,1.508355211075394e-43
971000,1.5239999122110771e-43
972000,1.5397123489139822e-43
973000,1.5554923622127015e-43
974000,1.571339793951476e-43
975000,1.587254486785181e-43
976000,1.6032362841743425e-43
977000,1.6192850303801948e-43
978000,1.6354005704597676e-43
979000,1.6515827502610125e-43
980000,1.6678314164179658e-43
981000,1.6841464163459397e-43
982000,1.7005275982367526e-43
983000,1.7169748110539892e-43
984000,1.7334879045283053e-43
985000,1.7500667291527483e-43
986000,1.7667111361781198e-43
987000,1.7834209776083823e-43
988000,1.800196106196079e-43
989000,1.8170363754377966e-43
990000,1.8339416395696564e-43
991000,1.8509117535628416e-43
992000,1.8679465731191564e-43
993000,1.885045954666608e-43
994000,1.9022097553550265e-43
995000,1.9194378330517173e-43
996000,1.9367300463371355e-43
997000,1.9540862545006063e-43
998000,1.971506317536055e-43
999000,1.9889900961377832e-43
1000000,2.0065374516962645e-43
1001000,2.024148246293982e-43
1002000,2.041822342701274e-43
1003000,2.0595596043722315e-43
1004000,2.077359895440613e-43
1005000,2.0952230807157816e-43
1006000,2.113149025678688e-43
1007000,2.1311375964778596e-43
1008000,2.1491886599254413e-43
1009000,2.1673020834932403e-43
1010000,2.1854777353088137e-43
1011000,2.203715484151582e-43
1012000,2.2220151994489575e-43
1013000,2.2403767512725217e-43
1014000,2.2588000103342017e-43
1015000,2.277284847982495e-43
1016000,2.2958311361987068e-43
1017000,2.3144387475932236e-43
1018000,2.3331075554018087e-43
1019000,2.3518374334819105e-43
1020000,2.3706282563090207e-43
1021000,2.389479898973036e-43
1022000,2.4083922371746554e-43
1023000,2.427365147221802e-43
1024000,2.44639850602606e-43
1025000,2.4654921910991513e-43
1026000,2.484646080549419e-43
1027000,2.5038600530783484e-43
1028000,2.5231339879771114e-43
1029000,2.54246776512312e-43
1030000,2.561861264976618e-43
1031000,2.581314368577291e-43
1032000,2.600826957540896e-43
1033000,2.6203989140559257e-43
1034000,2.640030120880277e-43
1035000,2.659720461337955e-43
1036000,2.6794698193157958e-43
1037000,2.6992780792602143e-43
1038000,2.7191451261739673e-43
1039000,2.739070845612945e-43
1040000,2.7590551236829837e-43
1041000,2.7790978470366856e-43
1042000,2.799198902870291e-43
1043000,2.8193581789205334e-43
1044000,2.8395755634615484e-43
1045000,2.8598509453017863e-43
1046000,2.8801842137809438e-43
1047000,2.9005752587669257e-43
1048000,2.921023970652819e-43
1049000,2.9415302403538943e-43
1050000,2.962093959304626e-43
1051000,2.9827150194557137e-43
1052000,3.0033933132711658e-43
1053000,3.0241287337253464e-43
1054000,3.044921174300095e-43
1055000,3.065770528981833e-43
1056000,3.0866766922586916e-43
1057000,3.1076395591176794e-43
1058000,3.128659025041843e-43
1059000,3.1497349860074584e-43
1060000,3.1708673384812524e-43
1061000,3.1920559794176135e-43
1062000,3.213300806255853e-43
1063000,3.2346017169174576e-43
1064000,3.255958609803379e-43
1065000,3.277371383791332e-43
1066000,3.298839938233112e-43
1067000,3.3203641729519307e-43
1068000,3.3419439882397636e-43
1069000,3.3635792848547314e-43
1070000,3.3852699640184797e-43
1071000,3.4070159274135832e-43
1072000,3.4288170771809707e-43
