energy,xs
3000,3.6377152399440854e-48
4000,1.2527259990879335e-47
5000,2.500691994851503e-47
6000,4.066097315973594e-47
7000,5.934697568403065e-47
8000,8.100542703281996e-47
9000,1.0560790208792585e-46
10000,1.3313942959740633e-46
11000,1.6359151569959475e-46
12000,1.9695905034780254e-46
13000,2.3323880967931964e-46
14000,2.7242867829141772e-46
15000,3.1452722146604774e-46
16000,3.5953343830237565e-46
17000,4.0744661332412e-46
18000,4.582662240990585e-46
19000,5.119918819492066e-46
20000,5.686232928672375e-46
21000,6.281602311357002e-46
22000,6.906025211407038e-46
23000,7.559500245950699e-46
24000,8.242026314072578e-46
25000,8.953602530538635e-46
26000,9.69422817700857e-46
27000,1.0463902665654247e-45
28000,1.1262625511705576e-45
29000,1.2090396312505232e-45
30000,1.294721473136657e-45
31000,1.383308048501598e-45
32000,1.4747993333738023e-45
33000,1.5691953073578437e-45
34000,1.6664959530128137e-45
35000,1.7667012553532204e-45
36000,1.8698112014455503e-45
37000,1.9758257800801008e-45
38000,2.084744981502449e-45
39000,2.1965687971924847e-45
40000,2.3112972196816236e-45
41000,2.428930242400829e-45
42000,2.5494678595536675e-45
43000,2.6729100660097735e-45
44000,2.799256857215073e-45
45000,2.9285082291158114e-45
46000,3.0606641780940154e-45
47000,3.1957247009124606e-45
48000,3.333689794667585e-45
49000,3.474559456749048e-45
50000,3.618333684804911e-45
51000,3.7650124767115255e-45
52000,3.914595830547467e-45
53000,4.0670837445708404e-45
54000,4.222476217199535e-45
55000,4.380773246993947e-45
56000,4.541974832641851e-45
57000,4.706080972945108e-45
58000,4.8730916668079704e-45
59000,5.043006913226756e-45
60000,5.215826711280718e-45
61000,5.3915510601239594e-45
62000,5.5701799589782446e-45
63000,5.751713407126609e-45
64000,5.936151403907657e-45
65000,6.12349394871048e-45
66000,6.313741040970093e-45
67000,6.506892680163357e-45
68000,6.702948865805316e-45
69000,6.901909597445902e-45
70000,7.103774874666953e-45
71000,7.308544697079561e-45
72000,7.516219064321621e-45
73000,7.726797976055672e-45
74000,7.940281431966888e-45
75000,8.156669431761301e-45
76000,8.375961975164146e-45
77000,8.598159061918387e-45
78000,8.823260691783364e-45
79000,9.051266864533536e-45
80000,9.282177579957391e-45
81000,9.515992837856371e-45
82000,9.752712638043968e-45
83000,9.99233698034483e-45
84000,1.0234865864593983e-44
85000,1.0480299290636106e-44
86000,1.0728637258324845e-44
87000,1.0979879767522217e-44
88000,1.123402681809803e-44
89000,1.1491078409929367e-44
90000,1.17510345429001e-44
91000,1.2013895216900446e-44
92000,1.2279660431826557e-44
93000,1.254833018758014e-44
94000,1.2819904484068097e-44
95000,1.309438332120221e-44
96000,1.3371766698898825e-44
97000,1.365205461707859e-44
98000,1.3935247075666162e-44
99000,1.4221344074589998e-44
100000,1.4510345613782111e-44
101000,1.4802251693177861e-44
102000,1.5097062312715765e-44
103000,1.5394777472337303e-44
104000,1.5695397171986768e-44
105000,1.5998921411611074e-44
106000,1.6305350191159644e-44
107000,1.6614683510584244e-44
108000,1.6926921369838866e-44
109000,1.7242063768879595e-44
110000,1.7560110707664522e-44
111000,1.7881062186153603e-44
112000,1.8204918204308573e-44
113000,1.8531678762092859e-44
114000,1.8861343859471468e-44
115000,1.9193913496410954e-44
116000,1.9529387672879278e-44
117000,1.9867766388845778e-44
118000,2.0209049644281081e-44
119000,2.055323743915704e-44
120000,2.0900329773446687e-44
121000,2.1250326647124153e-44
122000,2.1603228060164623e-44
123000,2.1959034012544297e-44
124000,2.2317744504240327e-44
125000,2.267935953523077e-44
126000,2.304387910549456e-44
127000,2.341130321501145e-44
128000,2.3781631863761974e-44
129000,2.4154865051727436e-44
130000,2.4531002778889836e-44
131000,2.4910045045231877e-44
132000,2.529199185073691e-44
133000,2.567684319538889e-44
134000,2.6064599079172395e-44
135000,2.6455259502072557e-44
136000,2.684882446407506e-44
137000,2.724529396516611e-44
138000,2.7644668005332395e-44
139000,2.8046946584561097e-44
140000,2.845212970283985e-44
141000,2.8860217360156726e-44
142000,2.92712095565002e-44
143000,2.968510629185917e-44
144000,3.0101907566222914e-44
145000,3.0521613379581073e-44
146000,3.094422373192364e-44
147000,3.136973862324095e-44
148000,3.179815805352366e-44
149000,3.222948202276275e-44
150000,3.266371053094948e-44
151000,3.3100843578075424e-44
152000,3.354088116413242e-44
153000,3.3983823289112555e-44
154000,3.4429669953008206e-44
155000,3.4878421155811966e-44
156000,3.5330076897516687e-44
157000,3.5784637178115424e-44
158000,3.6242101997601456e-44
159000,3.670247135596831e-44
160000,3.716574525320967e-44
161000,3.7631923689319423e-44
162000,3.8101006664291653e-44
163000,3.8572994178120645e-44
164000,3.904788623080081e-44
165000,3.9525682822326763e-44
166000,4.000638395269328e-44
167000,4.048998962189527e-44
168000,4.0976499829927823e-44
169000,4.1465914576786147e-44
170000,4.195823386246562e-44
171000,4.245345768696171e-44
172000,4.295158605027006e-44
173000,4.3452618952386425e-44
174000,4.395655639330667e-44
175000,4.446339837302679e-44
176000,4.497314489154289e-44
177000,4.548579594885119e-44
178000,4.600135154494799e-44
179000,4.651981167982976e-44
180000,4.704117635349295e-44
181000,4.756544556593424e-44
182000,4.809261931715032e-44
183000,4.862269760713798e-44
184000,4.915568043589413e-44
185000,4.969156780341572e-44
186000,5.023035970969981e-44
187000,5.077205615474352e-44
188000,5.1316657138544065e-44
189000,5.186416266109874e-44
190000,5.241457272240489e-44
191000,5.296788732245993e-44
192000,5.352410646126134e-44
193000,5.40832301388067e-44
194000,5.464525835509357e-44
195000,5.521019111011969e-44
196000,5.577802840388275e-44
197000,5.634877023638059e-44
198000,5.692241660761101e-44
199000,5.749896751757195e-44
200000,5.807842296626134e-44
201000,5.86607829536772e-44
202000,5.924604747981757e-44
203000,5.983421654468058e-44
204000,6.042529014826436e-44
205000,6.101926829056711e-44
206000,6.161615097158703e-44
207000,6.221593819132247e-44
208000,6.281862994977172e-44
209000,6.342422624693312e-44
210000,6.403272708280509e-44
211000,6.464413245738608e-44
212000,6.525844237067454e-44
213000,6.5875656822669e-44
214000,6.649577581336802e-44
215000,6.711879934277012e-44
216000,6.774472741087397e-44
217000,6.83735600176782e-44
218000,6.900529716318148e-44
219000,6.963993884738252e-44
220000,7.027748507028002e-44
221000,7.09179358318728e-44
222000,7.156129113215961e-44
223000,7.220755097113929e-44
224000,7.285671534881067e-44
225000,7.350878426517263e-44
226000,7.416375772022407e-44
227000,7.482163571396389e-44
228000,7.548241824639103e-44
229000,7.61461053175045e-44
