energy,xs
793000,7.392148804400211e-49
794000,1.0675264427432316e-47
795000,3.2169356084109767e-47
796000,6.517803269129265e-47
797000,1.096581095465511e-46
798000,1.655666723569407e-46
799000,2.3286107520969092e-46
800000,3.1149893856058985e-46
801000,4.014381472400108e-46
802000,5.026368484762533e-46
803000,6.1505344993615845e-46
804000,7.386466177827535e-46
805000,8.733752747497924e-46
806000,1.01919859823295e-45
807000,1.176076018397659e-45
808000,1.3439672163032445e-45
809000,1.522832122043339e-45
810000,1.7126309129022775e-45
811000,1.913324011527526e-45
812000,2.124872084117704e-45
813000,2.3472360386263683e-45
814000,2.5803770229809883e-45
815000,2.82425642331753e-45
816000,3.0788358622298754e-45
817000,3.344077197034436e-45
818000,3.619942518049503e-45
819000,3.9063941468892916e-45
820000,4.203394634772646e-45
821000,4.510906760846043e-45
822000,4.828893530520876e-45
823000,5.157318173824963e-45
824000,5.496144143767919e-45
825000,5.845335114720587e-45
826000,6.204854980807894e-45
827000,6.574667854315597e-45
828000,6.954738064110346e-45
829000,7.345030154073128e-45
830000,7.745508881545776e-45
831000,8.156139215790858e-45
832000,8.576886336464106e-45
833000,9.007715632100096e-45
834000,9.448592698610366e-45
835000,9.899483337794111e-45
836000,1.0360353555861474e-44
837000,1.0831169561969053e-44
838000,1.131189776676788e-44
839000,1.1802504780963186e-44
840000,1.2302957413886106e-44
841000,1.2813222672077934e-44
842000,1.3333267757885258e-44
843000,1.3863060068067273e-44
844000,1.4402567192414604e-44
845000,1.4951756912379467e-44
846000,1.5510597199717135e-44
847000,1.607905621513862e-44
848000,1.665710230697457e-44
849000,1.7244704009850267e-44
850000,1.7841830043371063e-44
851000,1.844844931081925e-44
852000,1.9064530897861155e-44
853000,1.9690044071265069e-44
854000,2.032495827762965e-44
855000,2.0969243142122588e-44
856000,2.1622868467229792e-44
857000,2.2285804231514714e-44
858000,2.2958020588387573e-44
859000,2.363948786488507e-44
860000,2.4330176560459483e-44
861000,2.5030057345778045e-44
862000,2.5739101061531843e-44
863000,2.6457278717254325e-44
864000,2.7184561490149657e-44
865000,2.7920920723930233e-44
866000,2.8666327927663633e-44
867000,2.9420754774629257e-44
868000,3.018417310118357e-44
869000,3.09565549056348e-44
870000,3.173787234712711e-44
871000,3.252809774453264e-44
872000,3.3327203575353636e-44
873000,3.413516247463266e-44
874000,3.495194723387142e-44
875000,3.57775307999592e-44
876000,3.6611886274108344e-44
877000,3.745498691079977e-44
878000,3.83068061167357e-44
879000,3.916731744980155e-44
880000,4.0036494618035383e-44
881000,4.091431147860628e-44
882000,4.1800742036800094e-44
883000,4.269576044501364e-44
884000,4.3599341001756936e-44
885000,4.4511458150662987e-44
886000,4.543208647950569e-44
887000,4.636120071922518e-44
888000,4.729877574296141e-44
889000,4.824478656509457e-44
890000,4.919920834029366e-44
891000,5.016201636257218e-44
892000,5.11331860643516e-44
893000,5.211269301553165e-44
894000,5.310051292256845e-44
895000,5.409662162755925e-44
896000,5.510099510733492e-44
897000,5.611360947255908e-44
898000,5.71344409668344e-44
899000,5.816346596581597e-44
900000,5.920066097633111e-44
901000,6.024600263550689e-44
902000,6.129946770990335e-44
903000,6.236103309465434e-44
904000,6.34306758126144e-44
905000,6.450837301351242e-44
906000,6.559410197311225e-44
907000,6.668784009237913e-44
908000,6.778956489665267e-44
909000,6.889925403482664e-44
910000,7.001688527853471e-44
911000,7.114243652134258e-44
912000,7.227588577794594e-44
913000,7.341721118337522e-44
914000,7.45663909922061e-44
915000,7.572340357777541e-44
916000,7.688822743140467e-44
917000,7.806084116162765e-44
918000,7.924122349342526e-44
919000,8.042935326746512e-44
920000,8.162520943934813e-44
921000,8.282877107885992e-44
922000,8.404001736922791e-44
923000,8.525892760638453e-44
924000,8.648548119823583e-44
925000,8.771965766393552e-44
926000,8.89614366331642e-44
927000,9.021079784541485e-44
928000,9.146772114928307e-44
929000,9.27321865017625e-44
930000,9.400417396754655e-44
931000,9.528366371833362e-44
932000,9.657063603214006e-44
933000,9.786507129261526e-44
934000,9.916694998836446e-44
935000,1.0047625271227524e-43
936000,1.017929601608498e-43
937000,1.03117053133541e-43
938000,1.0444851253209514e-43
939000,1.0578731935989798e-43
940000,1.0713345472132653e-43
941000,1.0848689982110553e-43
942000,1.0984763596366885e-43
943000,1.1121564455252477e-43
944000,1.1259090708962727e-43
945000,1.1397340517475113e-43
946000,1.1536312050487135e-43
947000,1.1676003487354844e-43
948000,1.1816413017031692e-43
949000,1.195753883800788e-43
950000,1.2099379158250205e-43
951000,1.2241932195142239e-43
952000,1.2385196175425064e-43
953000,1.2529169335138382e-43
954000,1.2673849919562032e-43
955000,1.2819236183158004e-43
956000,1.2965326389512798e-43
957000,1.3112118811280296e-43
958000,1.3259611730124982e-43
959000,1.3407803436665572e-43
960000,1.3556692230419142e-43
961000,1.3706276419745527e-43
962000,1.3856554321792223e-43
963000,1.4007524262439722e-43
964000,1.4159184576247079e-43
965000,1.4311533606398084e-43
966000,1.4464569704647627e-43
967000,1.461829123126865e-43
968000,1.4772696554999255e-43
969000,1.4927784052990424e-43
970000,1.5083552110753938e-43
971000,1.523999912211077e-43
972000,1.539712348913982e-43
973000,1.5554923622127015e-43
974000,1.5713397939514759e-43
975000,1.587254486785181e-43
976000,1.603236284174342e-43
977000,1.6192850303801946e-43
978000,1.6354005704597674e-43
979000,1.6515827502610123e-43
980000,1.6678314164179654e-43
981000,1.6841464163459393e-43
982000,1.7005275982367524e-43
983000,1.7169748110539888e-43
984000,1.733487904528305e-43
985000,1.7500667291527481e-43
986000,1.7667111361781196e-43
987000,1.7834209776083821e-43
988000,1.8001961061960785e-43
989000,1.8170363754377966e-43
990000,1.833941639569656e-43
991000,1.8509117535628412e-43
992000,1.867946573119156e-43
993000,1.8850459546666076e-43
994000,1.902209755355026e-43
995000,1.919437833051717e-43
996000,1.9367300463371355e-43
997000,1.9540862545006063e-43
998000,1.971506317536054e-43
999000,1.988990096137783e-43
1000000,2.006537451696264e-43
1001000,2.0241482462939815e-43
1002000,2.041822342701274e-43
1003000,2.059559604372231e-43
1004000,2.0773598954406125e-43
1005000,2.0952230807157816e-43
1006000,2.1131490256786874e-43
1007000,2.1311375964778592e-43
1008000,2.1491886599254413e-43
1009000,2.1673020834932403e-43
1010000,2.1854777353088137e-43
1011000,2.2037154841515816e-43
1012000,2.222015199448957e-43
1013000,2.2403767512725213e-43
1014000,2.2588000103342017e-43
1015000,2.277284847982495e-43
1016000,2.2958311361987068e-43
1017000,2.3144387475932232e-43
1018000,2.3331075554018087e-43
1019000,2.3518374334819105e-43
1020000,2.3706282563090207e-43
1021000,2.389479898973036e-43
1022000,2.4083922371746554e-43
1023000,2.427365147221802e-43
1024000,2.44639850602606e-43
1025000,2.465492191099151e-43
1026000,2.484646080549419e-43
1027000,2.5038600530783476e-43
1028000,2.523133987977111e-43
1029000,2.54246776512312e-43
1030000,2.5618612649766174e-43
1031000,2.5813143685772906e-43
1032000,2.6008269575408957e-43
1033000,2.6203989140559253e-43
1034000,2.640030120880277e-43
1035000,2.659720461337955e-43
1036000,2.679469819315795e-43
1037000,2.6992780792602135e-43
1038000,2.7191451261739673e-43
1039000,2.7390708456129446e-43
1040000,2.7590551236829833e-43
1041000,2.779097847036685e-43
1042000,2.7991989028702908e-43
1043000,2.8193581789205334e-43
1044000,2.8395755634615476e-43
1045000,2.8598509453017863e-43
1046000,2.880184213780943e-43
1047000,2.900575258766925e-43
1048000,2.921023970652819e-43
1049000,2.9415302403538943e-43
1050000,2.9620939593046257e-43
1051000,2.9827150194557133e-43
1052000,3.0033933132711658e-43
1053000,3.0241287337253464e-43
1054000,3.044921174300094e-43
1055000,3.065770528981833e-43
1056000,3.086676692258691e-43
1057000,3.107639559117679e-43
1058000,3.128659025041842e-43
1059000,3.149734986007458e-43
1060000,3.1708673384812516e-43
1061000,3.1920559794176127e-43
1062000,3.213300806255852e-43
1063000,3.2346017169174568e-43
1064000,3.255958609803379e-43
1065000,3.2773713837913312e-43
1066000,3.2988399382331115e-43
1067000,3.3203641729519307e-43
1068000,3.3419439882397628e-43
1069000,3.363579284854731e-43
1070000,3.385269964018479e-43
1071000,3.4070159274135832e-43
1072000,3.4288170771809707e-43
1073000,3.450673315917361e-43
1074000,3.472584546672718e-43
1075000,3.494550672947721e-43
1076000,3.516571598691255e-43
1077000,3.5386472282979126e-43
1078000,3.5607774666055195e-43
1079000,3.5829622188926642e-43
1080000,3.605201390876251e-43
1081000,3.6274948887090775e-43
1082000,3.649842618977404e-43
1083000,3.6722444886985655e-43
1084000,3.694700405318583e-43
1085000,3.717210276709787e-43
1086000,3.73977401116848e-43
1087000,3.762391517412579e-43
1088000,3.785062704579298e-43
1089000,3.807787482222849e-43
1090000,3.830565760312129e-43
1091000,3.8533974492284576e-43
1092000,3.876282459763301e-43
1093000,3.899220703116026e-43
1094000,3.922212090891666e-43
1095000,3.94525653509869e-43
1096000,3.968353948146812e-43
1097000,3.991504242844778e-43
1098000,4.014707332398197e-43
1099000,4.0379631304073746e-43
1100000,4.061271550865164e-43
1101000,4.084632508154818e-43
1102000,4.1080459170478735e-43
1103000,4.131511692702038e-43
1104000,4.15502975065909e-43
1105000,4.178600006842792e-43
1106000,4.2022223775568314e-43
1107000,4.225896779482745e-43
1108000,4.249623129677886e-43
1109000,4.273401345573389e-43
1110000,4.2972313449721495e-43
1111000,4.321113046046812e-43
1112000,4.34504636733779e-43
1113000,4.3690312277512664e-43
1114000,4.393067546557238e-43
1115000,4.417155243387557e-43
1116000,4.441294238233976e-43
1117000,4.465484451446227e-43
1118000,4.489725803730097e-43
1119000,4.514018216145518e-43
1120000,4.538361610104677e-43
1121000,4.562755907370125e-43
1122000,4.5872010300529e-43
1123000,4.611696900610681e-43
1124000,4.636243441845927e-43
1125000,4.660840576904036e-43
1126000,4.685488229271532e-43
1127000,4.7101863227742376e-43
1128000,4.7349347815754745e-43
1129000,4.7597335301742704e-43
1130000,4.784582493403579e-43
1131000,4.8094815964285046e-43
1132000,4.834430764744545e-43
1133000,4.8594299241758445e-43
